ticket_id,description,root_cause,resolution
KAFKA-13073,"Simulation test fails due to inconsistency in MockLog's implementation. We are getting the following error on trunk {code:java} RaftEventSimulationTest > canRecoverAfterAllNodesKilled STANDARD_OUT     timestamp = 2021-07-12T16:26:55.663, RaftEventSimulationTest:canRecoverAfterAllNodesKilled =       java.lang.RuntimeException:         Uncaught exception during poll of node 1                                  |-------------------jqwik-------------------     tries = 25                    | # of calls to property     checks = 25                   | # of not rejected calls     generation = RANDOMIZED       | parameters are randomly generated     after-failure = PREVIOUS_SEED | use the previous seed     when-fixed-seed = ALLOW       | fixing the random seed is allowed     edge-cases#mode = MIXIN       | edge cases are mixed in     edge-cases#total = 108        | # of",inconsistency in MockLog's implementation.,Fixed
KAFKA-13058,"`AlterConsumerGroupOffsetsHandler` does not handle partition errors correctly.. While reviewing https://github.com/apache/kafka/pull/10973, we have noticed that `AlterConsumerGroupOffsetsHandler` does not handle the partition errors correctly. The issue is that any partition error fails the entire future returned in the results instead of failing only the future of the corresponding partition. This is a regression that was introduced by KIP-699.",that any partition error fails the entire future returned in the results instead of failing only the future of the corresponding partition.,Fixed
KAFKA-13057,Many broker RPCs are not enable in KRaft mode. Many RPCs have not yet been enabled in KRaft mode. We should enable the ones that are intended to be supported for the 3.0 release.,Many broker RPCs are not enable in KRaft mode.,Fixed
KAFKA-13056,Broker should not generate snapshots when controller is co-resident. We added broker snapshot support in https://github.com/apache/kafka/pull/10990. We should have logic to disable the broker snapshot when the controller is running on the same host since there is no need to have them both doing it.,Broker should not generate snapshots when controller is co-resident.,Fixed
KAFKA-13053,"Bump frame version for KRaft records. We have at least one compatibility break to the record format of KRaft records (we added a version field to the LeaderChange schema). Since there was never an expectation of compatibility between 2.8 and 3.0, we want to make this explicit by bumping the frame version. At the same time, we will reset the record versions back to 0.","Since there was never an expectation of compatibility between 2.8 and 3.0, we want to make this explicit by bumping the frame version.",Fixed
KAFKA-13049,Log recovery threads use default thread pool naming. The threads used for log recovery use a pool {{Executors.newFixedThreadPool(int)}} and hence pick up the naming scheme from {{Executors.defaultThreadFactory()}}. It's not so clear in a thread dump taken during log recovery what those threads are. They should have clearer names. ,Log recovery threads use default thread pool naming.,Fixed
KAFKA-13042,Flaky test KafkaMetadataLogTest.testDeleteSnapshots(). This test fails many times but succeeds locally.,The failure is attributed to a Scala 2.12 issue rather than Kafka production logic.,[~meher_crok] This is a bug of Scala 2.12 and fixed here: https://github.com/apache/kafka/pull/10997 | [~dengziming] so this the error you get ?  Error while writing to partition metadata file \AppData\Local\Temp\kafka-6754745891137104415@metadata-0\partition.metadataError while writing to partition me
KAFKA-13037,"""Thread state is already PENDING_SHUTDOWN"" log spam. KAFKA-12462 introduced a [change|https://github.com/apache/kafka/commit/4fe4cdc4a61cbac8e070a8b5514403235194015b#diff-76f629d0df8bd30b2593cbcf4a2dc80de3167ebf55ef8b5558e6e6285a057496R722] that increased this ""Thread state is already {}"" logger to info instead of debug. We are running into a problem with our streams apps when they hit an unrecoverable exception that shuts down the streams thread, we get this log printed about 50,000 times per second per thread. I am guessing it is once per record we have queued up when the exception happens? We have temporarily raised the StreamThread logger to WARN instead of INFO to avoid the spam, but we do miss the other good logs we get on INFO in that class. Could this log be reverted back to debug? Thank you! ",A shutdown race causes repeated processing/logging of an event after the thread has already entered PENDING_SHUTDOWN.,"Awesome! Thank you, Sophie. | Thanks for the fix – btw, I added you as a contributor so you should be able to self-assign tickets from now on.  | Hey [~gray.john], would you be interested in submitting a PR for this? I completely agree that logging this at INFO on every iteration is wildly inappropriate, I just didn't push it at the time since "
KAFKA-13033,"coordinator not available error should cause add into unmap list to do a new lookup. In KIP-699, we add some handler to handle different types of operation. In the `handleError`, we didn't make the `COORDINATOR_NOT_AVAILABLE` as unmapped, to do a re-lookup. In [DescribeTransactionsHandler|https://github.com/apache/kafka/blob/trunk/clients/src/main/java/org/apache/kafka/clients/admin/internals/DescribeTransactionsHandler.java#L172-L186], there's already explained by [~hachikuji] why `COORDINATOR_NOT_AVAILABLE` and `NOT_COORDINATOR` should be listed in unmapped, and `COORDINATOR_LOAD_IN_PROGRESS` should not.    {code:java} case COORDINATOR_LOAD_IN_PROGRESS:     // If the coordinator is in the middle of loading, then we just need to retry     log.debug(""DescribeTransactions request for transactionalId `{}` failed because the "" +             ""coordinator is still in the proces","the "" + ""coordinator is still in the proces.",Fixed
KAFKA-13029,"FindCoordinators batching can break consumers during rolling upgrade. The changes made under KIP-699 assume that it is always safe to use unbatched mode since we move from batched to unbatched and cache the value forever in clients if a broker doesn't support batching. During rolling upgrade, if a request is sent to an older broker, we move from batched to unbatched mode. The consumer (admin client as well I think) disables batching and future requests to upgraded brokers will fail because we attempt to use unbatched requests with a newer version of the request.",we attempt to use unbatched requests with a newer version of the request.,"[~mimaison] [~dajac]  Consumer and transaction coordinator always have single group, so the batch flag in those with failover are unnecessary. As David mentioned, we just need to set the appropriate d | For the consumer, I think a simpler version would be to have all the logic in the builder. As the request is always for one group, we could simply build the correct request data based on the version p | Right, I missed that!  For the Consumer/Producer, I guess we could reset the batch flag in AbstractCoordinator each time the coordinator changes.   For AdminClient, we create a new CoordinatorStrategy"
KAFKA-13018,"test_multi_version failures. This system test fails with the error   {{Exception in thread ""main"" joptsimple.UnrecognizedOptionException: zookeeper is not a recognized option}}  {{joptsimple.OptionException.unrecognizedOption(OptionException.java:108)}}  {{joptsimple.OptionParser.handleLongOptionToken(OptionParser.java:510)}}  {{joptsimple.OptionParserState$2.handleArgument(OptionParserState.java:56)}}  {{ joptsimple.OptionParser.parse(OptionParser.java:396)}}  {{kafka.admin.TopicCommand$TopicCommandOptions.<init>(TopicCommand.scala:516)}}  {{kafka.admin.TopicCommand$.main(TopicCommand.scala:47)}}  {{ kafka.admin.TopicCommand.main(TopicCommand.scala)}}     Seems like when we try to run with both 0.8.2.X version and dev version, we have this issue, since {{test_0_8_2 }}which uses only 0.8.2.X passes. Likely this has to",The multi-version test still passes the removed ZooKeeper CLI option `--zookeeper` to the newer command implementation.,Fixed by [#10918|https://github.com/apache/kafka/pull/10918]
KAFKA-13017,"Excessive logging on sink task deserialization errors. Even with {{errors.log.enable}} set to {{false}}, deserialization failures are still logged at {{ERROR}} level by the {{org.apache.kafka.connect.runtime.WorkerSinkTask}} namespace. This becomes problematic in pipelines with {{errors.tolerance}} set to {{all}}, and can generate excessive logging of stack traces when deserialization errors are encountered for most if not all of the records being consumed by a sink task.  The logging added to the {{WorkerSinkTask}} class in KAFKA-9018 should be removed and, if necessary, any valuable information from it not already present in the log messages generated by Connect with {{errors.log.enable}} and {{errors.log.include.messages}} set to {{true}} should be added in that place instead.",Sink deserialization failures are logged at ERROR even when `errors.log.enable=false`.,Fixed
KAFKA-13010,Flaky test org.apache.kafka.streams.integration.TaskMetadataIntegrationTest.shouldReportCorrectCommittedOffsetInformation(). Integration test {{test org.apache.kafka.streams.integration.TaskMetadataIntegrationTest.shouldReportCorrectCommittedOffsetInformation()}} sometimes fails with  {code:java} java.lang.AssertionError: only one task 	at org.hamcrest.MatcherAssert.assertThat(MatcherAssert.java:26) 	at org.apache.kafka.streams.integration.TaskMetadataIntegrationTest.getTaskMetadata(TaskMetadataIntegrationTest.java:162) 	at org.apache.kafka.streams.integration.TaskMetadataIntegrationTest.shouldReportCorrectCommittedOffsetInformation(TaskMetadataIntegrationTest.java:117) {code},The failure occurs during cooperative rebalancing and is resolved by retrying the affected operation.,"It looks like the issue only shows up between cooperative rebalances and just retrying will fix it. I will make a PR with a fix shortly | I ran it for the commit before KIP-744 and it did fail. I am going to do a binary search from when the test was introduced to see where it started failing.     EDIT: It looks like it always would fail | I only mentioned because it seems to be the only other change in that PR that is not just moving implementations around.  If you run the test before the KIP-744 changes were introduced, does it also f"
KAFKA-13008,"Stream will stop processing data for a long time while waiting for the partition lag. In KIP-695, we improved the task idling mechanism by checking partition lag. It's a good improvement for timestamp sync. But I found it will cause the stream stop processing the data for a long time while waiting for the partition metadata.     I've been investigating this case for a while, and figuring out the issue will happen in below situation (or similar situation):  # start 2 streams (each with 1 thread) to consume from a topicA (with 3 partitions: A-0, A-1, A-2)  # After 2 streams started, the partitions assignment are: (I skipped some other processing related partitions for simplicity)  stream1-thread1: A-0, A-1   stream2-thread1: A-2  # start processing some data, assume now, the position and high watermark is:  A-0: offset: 2, highWM: 2  A-1: offset: 2, highWM: 2  A-2: offset: 2,","The task-idling logic waits for partition lag to catch up, so a lagging partition can stall stream processing for an extended period.","Thanks Guozhang, +1 on that approach (though I'll let Colin confirm whether #1 does make sense or not). We'll definitely need a Streams/client side fix if the 'real' fix is going to be on the broker s | Thanks for the great find [~showuon]!  I took a look at the server-side code, and I think we can consider two things:  1) slightly augment the session handling logic so that within a session, if a par | {quote}Re-reading KIP-227, it seems like there should be a way for the client to add re-acquired partitions like this to the incremental fetch request so that it can reinitialize its metadata cache. I"
KAFKA-13007,"KafkaAdminClient getListOffsetsCalls builds cluster snapshot for every topic partition. From [KafkaAdminClient#getListOffsetsCalls|https://github.com/apache/kafka/blob/trunk/clients/src/main/java/org/apache/kafka/clients/admin/KafkaAdminClient.java#L4215]  ```  for (Map.Entry<TopicPartition, OffsetSpec> entry: topicPartitionOffsets.entrySet()) {  ...  Node node = mr.cluster().leaderFor(tp);  ```  here we build the cluster snapshot for each topic partition. instead, we should reuse a snapshot. this will reduce the time complexity from O( n^2 ) to O( n ).  for manual testing (used AK 2.8), i've passed in a map of 6K topic partitions to listOffsets  without snapshot reuse:  duration of building futures from metadata response: *15582* milliseconds  total duration of listOffsets: *15743* milliseconds  with reuse:  duration of building futures from metadata response: *24* milliseco",`KafkaAdminClient.getListOffsetsCalls` rebuilds the cluster snapshot for every topic partition instead of reusing one snapshot.,Fixed
KAFKA-13003,"KafkaBroker advertises socket port instead of the configured advertised port. In Kraft mode Apache Kafka 2.8.0 does advertise the socket port instead of the configured advertised port.  A broker given with the following configuration {code:java} listeners=PUBLIC://0.0.0.0:19092,REPLICATION://0.0.0.0:9091 advertised.listeners=PUBLIC://envoy-kafka-broker:9091,REPLICATION://kafka-broker1:9091 {code} advertises on the _PUBLIC_ listener _envoy-kafka-broker:19092_, however I would expect that _envoy-kafka-broker:9091_ is advertised. In ZooKeeper mode it works as expected.  In a deployment with a L4 proxy in front of the Kafka cluster, it is important, that the advertised port can be different from the actual socket port.  I tested it with a Docker-Compose setup which runs 3 Kafka Broker in Kraft mode and an Envoy proxy in front of them. With Apache Kafka 2.8.0 it does not",In KRaft mode the broker advertises its socket/listen port instead of the configured `advertised.listeners` port.,Pull Request #10935 has been merged. | I create a pull request: https://github.com/apache/kafka/pull/10935  The Docker-Compose setup with the fix (proposed in the pull request) works and advertises the configured advertised port. For more 
KAFKA-13002,"listOffsets must downgrade immediately for non MAX_TIMESTAMP specs. Note: this is not a report against a released version of AK. It seems to be a problem on the trunk development branch only.  After deploying our soak test against `trunk/HEAD` on Friday, I noticed that Streams is no longer processing:  !soaks.png!  I found this stacktrace in the logs during startup: {code:java} 5075 [2021-06-25T16:50:44-05:00] (streams-soak-trunk-ccloud-alos_soak_i-0691913411e8c77c3_streamslog) [2021-06-25 21:50:44,499] WARN [i-0691913411e8c77c3-StreamThread-1] The listOffsets request failed. (org.apache.kafka.streams.processor.internals.ClientUtils)  5076 [2021-06-25T16:50:44-05:00] (streams-soak-trunk-ccloud-alos_soak_i-0691913411e8c77c3_streamslog) java.util.concurrent.ExecutionException: org.apache.kafka.common.errors.UnsupportedVersionException: The broker does not su","The ListOffsets request is sent at a protocol version unsupported by the broker, triggering `UnsupportedVersionException`.","Awesome, thanks! | The soak cluster still looks good and the benchmarks completed successfully their first run. I guess the fix is fine. | [~cadonna] Sounds good, thanks."
KAFKA-12996,"OffsetOutOfRange not handled correctly for diverging epochs when fetch offset less than leader start offset. {color:#24292e}If fetchOffset < startOffset, we currently throw OffsetOutOfRangeException when attempting to read from the log in the regular case. But for diverging epochs, we return Errors.NONE with the new leader start offset, hwm etc.. ReplicaFetcherThread throws OffsetOutOfRangeException when processing responses with Errors.NONE if the leader's offsets in the response are out of range and this moves the partition to failed state. We should add a check for this case when processing fetch requests and ensure OffsetOutOfRangeException is thrown regardless of epochs.{color}","When the fetch offset is below the leader's start offset during an epoch divergence, the fetch path handles the condition as a normal `OffsetOutOfRange` instead of applying the required divergent-epoch logic.",Fixed
KAFKA-12993,"Formatting of Streams 'Memory Management' docs is messed up . The formatting of this page is all messed up, starting in the RocksDB section. It looks like there's a missing closing tag after the example BoundedMemoryRocksDBConfig class",Formatting of Streams 'Memory Management' docs is messed up.,"ableegoldman merged pull request #361: URL: https://github.com/apache/kafka-site/pull/361         --  This is an automated message from the Apache Git Service. To respond to the message, please log on | izzyacademy commented on pull request #361: URL: https://github.com/apache/kafka-site/pull/361#issuecomment-869027105      > Gotcha, thanks for checking. Can you try setting up a local Apache server t | showuon commented on pull request #361: URL: https://github.com/apache/kafka-site/pull/361#issuecomment-868980516      @ableegoldman , I've updated and confirmed the change can fix the formatting issu"
KAFKA-12991,Fix unsafe access to `AbstractCoordinator.state`. ,"`AbstractCoordinator.state` is accessed without the required synchronization, creating unsafe concurrent state access.",Fixed
KAFKA-12984,"Cooperative sticky assignor can get stuck with invalid SubscriptionState input metadata. Some users have reported seeing their consumer group become stuck in the CompletingRebalance phase when using the cooperative-sticky assignor. Based on the request metadata we were able to deduce that multiple consumers were reporting the same partition(s) in their ""ownedPartitions"" field of the consumer protocol. Since this is an invalid state, the input causes the cooperative-sticky assignor to detect that something is wrong and throw an IllegalStateException. If the consumer application is set up to simply retry, this will cause the group to appear to hang in the rebalance state.  The ""ownedPartitions"" field is encoded based on the ConsumerCoordinator's SubscriptionState, which was assumed to always be up to date. However there may be cases where the consumer has dropped out of the grou",The cooperative assignor trusts `SubscriptionState.ownedPartitions` even when that metadata is stale or inconsistent.,"[~mjsax] Technically yes, the issue with the SubscriptionState potentially providing invalid ""ownedPartitions"" input can affect Kafka Streams as well. However the impact for Streams is be considerably | [~ableegoldman] – is KS affected by this issue? Even if we use our own assignor, it seems that the issue with regard to ""subscription state"" could also affect KS? | Good root cause analysis! And I agree the solution (a) that the sticky assignment algorithm should resolve cases of improper input conditions by invalidating the ""ownedPartitions"" in cases of double o"
KAFKA-12983,"onJoinPrepare is not always invoked before joining the group. As the title suggests, the #onJoinPrepare callback is not always invoked before a member (re)joins the group, but only once when it first enters the rebalance. This means that any updates or events that occur during the join phase can be lost in the internal state: for example, clearing the SubscriptionState (and thus the ""ownedPartitions"" that are used for cooperative rebalancing) after losing its memberId during a rebalance.  We should reset the `needsJoinPrepare` flag inside the resetStateAndRejoin() method","The group-join flow does not invoke `onJoinPrepare` on every rejoin, only on the initial transition into rebalance.",Fixed
KAFKA-12964,"Corrupt segment recovery can delete new producer state snapshots. During log recovery, we may schedule asynchronous deletion in deleteSegmentFiles.  [https://github.com/apache/kafka/blob/fc5245d8c37a6c9d585c5792940a8f9501bedbe1/core/src/main/scala/kafka/log/Log.scala#L2382]  If we're truncating the log, this may result in deletions for segments with matching base offsets to segments which will be written in the future. To avoid asynchronously deleting future segments, we rename the segment and index files, but we do not do this for producer state snapshot files.   This leaves us vulnerable to a race condition where we could end up deleting snapshot files for segments written after log recovery when async deletion runs.     To fix this, we should first remove the `SnapshotFile` from the `ProducerStateManager` and rename the file to have a `Log.DeletedFile","Producer-state snapshot files are not renamed/fenced along with segment and index files before asynchronous deletion, so recovery can delete a newly created snapshot.",merged the PR to trunk
KAFKA-12951,"Infinite loop while restoring a GlobalKTable. We encountered an issue a few time in some of our Kafka Streams application.  After an unexpected restart of our applications, some instances have not been able to resume operating.  They got stuck while trying to restore the state store of a GlobalKTable. The only way to resume operating was to manually delete their `state.dir`.  We observed the following timeline:  * After the restart of the Kafka Streams application, it tries to restore its GlobalKTable  * It seeks to the last checkpoint available on the {{{{state.dir}}}}: 382 ([https://github.com/apache/kafka/blob/2.7.0/streams/src/main/java/org/apache/kafka/streams/processor/internals/GlobalStateManagerImpl.java#L259])  * The watermark ({{endOffset}} results) returned the offset 383  {code:java} handling ListOffsetResponse response fo",GlobalKTable restoration can repeatedly retry the same corrupted/replayed state and never exit the restoration loop.,Fixed
KAFKA-12949,"TestRaftServer's scala.MatchError: null on test-kraft-server-start.sh. Encounter the following exception when trying to run the TestRaftServer: {code:java} bin/test-kraft-server-start.sh --config config/kraft.properties{code} {code:java} [2021-06-14 17:15:43,232] ERROR [raft-workload-generator]: Error due to (kafka.tools.TestRaftServer$RaftWorkloadGenerator)  scala.MatchError: null  at kafka.tools.TestRaftServer$RaftWorkloadGenerator.doWork(TestRaftServer.scala:220)  at kafka.utils.ShutdownableThread.run(ShutdownableThread.scala:96)  [2021-06-14 17:15:43,253] INFO [raft-workload-generator]: Stopped (kafka.tools.TestRaftServer$RaftWorkloadGenerator){code} That happens on the followin match: {code:java} eventQueue.poll(eventTimeoutMs, TimeUnit.MILLISECONDS) match {   case HandleClaim(epoch) =>       claimedEpoch = Some(epoch)       throttler.reset()       pendi",Not explicitly documented.,Fixed
